iter	TotalF1	MultiClass
187	0.8745531154	0.4115394111
188	0.8740566829	0.4109939722
189	0.8743987447	0.4104905095
190	0.874678095	0.4099581328
191	0.875145001	0.4093206435
192	0.8746737951	0.4084780742
193	0.8749573964	0.4082158116
194	0.876422569	0.4075018669
195	0.8770149688	0.4070426142
196	0.8771454631	0.4058079911
197	0.8775789257	0.4050836647
198	0.8774497102	0.4044802475
199	0.8775750048	0.4036683124
200	0.8772330254	0.403071759
201	0.8775750048	0.4023547727
202	0.8777003042	0.40223206
203	0.8779139793	0.4014278792
204	0.8783161493	0.4006235484
205	0.8781906958	0.4001378454
206	0.8780105473	0.399495013
207	0.8779502522	0.3989411832
208	0.8785159326	0.3986300431
209	0.8770192032	0.3982336345
210	0.8779543028	0.3976697333
211	0.878666393	0.3969430231
212	0.8783560014	0.3965177256
213	0.8786624287	0.3957113484
214	0.8796950064	0.3953345996
215	0.8799773864	0.3949449299
216	0.8790085259	0.3944280946
217	0.879291121	0.3938889004
218	0.8801653013	0.3931198801
219	0.8804438129	0.3926045508
220	0.8807609779	0.3923444983
221	0.8813182019	0.3917038964
222	0.881785635	0.3913355578
223	0.8822659882	0.3908404001
224	0.8824542568	0.3903326593
225	0.8819899986	0.3896967311
226	0.881231	0.3889942759
227	0.8804808473	0.3885856631
228	0.8806700987	0.3879060966
229	0.8819038415	0.3873966359
230	0.8821823872	0.386741185
231	0.8827753767	0.386249172
232	0.8824636257	0.3857927702
233	0.8825401535	0.3854822382
234	0.8826028869	0.3847688384
235	0.8827941216	0.3842766216
236	0.8830727037	0.3838567935
237	0.883245138	0.3833920868
238	0.8829308711	0.3828699119
239	0.8830604096	0.3825264469
240	0.8839552373	0.3818330594
241	0.8843596257	0.3812995648
242	0.8851981651	0.3808380269
243	0.885476433	0.3804201324
244	0.8850120005	0.3802390845
245	0.886073209	0.3797578802
246	0.8857282345	0.3793520706
247	0.886287697	0.3787106808
248	0.8868437574	0.3782886227
249	0.8856023313	0.3777740194
250	0.8858805665	0.3773617158
251	0.8871857236	0.3770619788
252	0.8854127209	0.3764644436
253	0.8858805665	0.3760410043
254	0.886629553	0.3758484024
255	0.8866265703	0.375441226
256	0.8866556091	0.3750506864
257	0.8867178078	0.3743010172
258	0.8868055284	0.3737557874
259	0.8868055284	0.3734519223
260	0.8873636727	0.373224887
261	0.887643938	0.3729657304
262	0.8877698527	0.3725863869
263	0.8882382351	0.372200508
264	0.8886418006	0.3716941547
265	0.8886418006	0.3713418763
266	0.8894672018	0.370766904
267	0.8895933244	0.3704372408
268	0.8892768148	0.3702216872
269	0.8888477352	0.3698099854
270	0.8891253149	0.3693760218
271	0.8895057772	0.3688458453
272	0.8895208328	0.3686452651
273	0.8907008557	0.3682214937
274	0.8911681576	0.3680527204
275	0.8909782807	0.3676891755
276	0.8917735573	0.3672742697
277	0.8906099266	0.367042004
278	0.8909027197	0.3668728446
279	0.8913666143	0.3661733889
280	0.8910887998	0.3658793374
281	0.8917765826	0.3651264966
282	0.8919248471	0.3648589672
283	0.8930155994	0.3643763558
284	0.8928892146	0.3639076836
285	0.892874432	0.3636653342
286	0.892874432	0.363291495
287	0.892874432	0.3630754205
288	0.8931544401	0.3629549118
289	0.8932298409	0.3623797068
290	0.8944410049	0.3618917957
291	0.8944410049	0.3614358747
292	0.8942514481	0.3610194203
293	0.8945313171	0.3606781444
294	0.8938740972	0.3603850763
295	0.894620938	0.3597768073
296	0.8952781302	0.359587599
297	0.8950881053	0.3591113116
298	0.89493773	0.3588470581
299	0.8951909749	0.3582373518
300	0.8954679948	0.3579484992
301	0.8954679948	0.357643802
302	0.895914342	0.356788373
303	0.8956582749	0.3561690116
304	0.896721998	0.3558162362
305	0.8957876385	0.3552731108
306	0.896721998	0.3547796578
307	0.8964447036	0.3544254501
308	0.8966342999	0.3540408261
309	0.8966342999	0.3538360224
310	0.8963568644	0.3535540166
311	0.8963568644	0.3530830874
312	0.8963568644	0.3525314986
313	0.8969507097	0.3521349674
314	0.8975062882	0.3518264622
315	0.8979106801	0.3514573431
316	0.897785781	0.3508958573
317	0.8965744258	0.350173325
318	0.8971287765	0.3497952379
319	0.8973187428	0.3494832485
320	0.8978731317	0.3490777498
321	0.8978758047	0.3488248029
322	0.8977487896	0.3487403901
323	0.8978987861	0.348411566
324	0.8992370035	0.3477519127
325	0.899703992	0.3475436404
326	0.9001709014	0.3473247958
327	0.9002581739	0.3468073668
328	0.9008748434	0.346112477
329	0.9003855163	0.3455811296
330	0.900535206	0.344950147
331	0.9010566123	0.3441422226
332	0.9017785045	0.3438122441
333	0.9012690002	0.3432712053
334	0.9005874689	0.3424827621
335	0.9005874689	0.3421262404
336	0.9009919256	0.3417523764
337	0.9011192836	0.3413905426
338	0.9011192836	0.3410196469
339	0.9012063243	0.3404234301
340	0.9016734128	0.3402916247
341	0.9026317289	0.3398295827
342	0.9022273878	0.3396994849
343	0.9030990026	0.3394323998
344	0.9025043183	0.3391357091
345	0.9032265158	0.3389811856
346	0.9024174851	0.33830975
347	0.9027999689	0.3378135389
348	0.9035555976	0.3374292233
349	0.904033998	0.3370664422
350	0.904033998	0.3368879154
351	0.9044385903	0.3364732271
352	0.9045661291	0.3361582314
353	0.9044385903	0.335742958
354	0.9046936739	0.3354881472
355	0.9049727535	0.3350463597
356	0.9046936739	0.3346896726
357	0.9044385903	0.3341601403
358	0.9048431688	0.3337325281
359	0.9053971353	0.3333160753
360	0.9049707227	0.3328703618
